0,State-gov,Adm-clerical,Male,<=50K
1,Self-emp-not-inc,Exec-managerial,Male,<=50K
2,Private,Handlers-cleaners,Male,<=50K
3,Private,Handlers-cleaners,Male,<=50K
4,Private,Prof-specialty,Female,<=50K
5,Private,Exec-managerial,Female,<=50K
6,Private,Other-service,Female,<=50K
7,Self-emp-not-inc,Exec-managerial,Male,>50K
8,Private,Prof-specialty,Female,>50K
9,Private,Exec-managerial,Male,>50K
10,Private,Exec-managerial,Male,>50K
11,State-gov,Prof-specialty,Male,>50K
12,Private,Adm-clerical,Female,<=50K
13,Private,Sales,Male,<=50K
14,Private,Craft-repair,Male,>50K
15,Private,Transport-moving,Male,<=50K
16,Self-emp-not-inc,Farming-fishing,Male,<=50K
17,Private,Machine-op-inspct,Male,<=50K
18,Private,Sales,Male,<=50K
19,Self-emp-not-inc,Exec-managerial,Female,>50K
20,Private,Prof-specialty,Male,>50K
21,Private,Other-service,Female,<=50K
22,Federal-gov,Farming-fishing,Male,<=50K
23,Private,Transport-moving,Male,<=50K
24,Private,Tech-support,Female,<=50K
25,Local-gov,Tech-support,Male,>50K
26,Private,Craft-repair,Male,<=50K
27,?,?,Male,>50K
28,Private,Exec-managerial,Male,<=50K
29,Private,Craft-repair,Male,<=50K
30,Local-gov,Protective-serv,Male,<=50K
31,Private,Sales,Male,<=50K
32,Private,Exec-managerial,Male,<=50K
33,Federal-gov,Adm-clerical,Male,<=50K
34,State-gov,Other-service,Male,<=50K
35,Private,Machine-op-inspct,Male,<=50K
36,Private,Machine-op-inspct,Male,<=50K
37,Private,Adm-clerical,Female,<=50K
38,Private,Sales,Male,>50K
39,Self-emp-not-inc,Prof-specialty,Male,<=50K
40,Private,Machine-op-inspct,Male,<=50K
41,Self-emp-not-inc,Prof-specialty,Male,<=50K
42,Private,Tech-support,Male,<=50K
43,Private,Adm-clerical,Female,<=50K
44,Private,Handlers-cleaners,Male,<=50K
45,Federal-gov,Prof-specialty,Male,>50K
46,Private,Machine-op-inspct,Male,<=50K
47,Private,Exec-managerial,Female,<=50K
48,State-gov,Craft-repair,Male,<=50K
49,Private,Prof-specialty,Male,<=50K
50,Private,Exec-managerial,Female,<=50K
51,Private,Other-service,Female,<=50K
52,Private,Prof-specialty,Female,>50K
53,Federal-gov,Exec-managerial,Male,>50K
54,Self-emp-inc,Exec-managerial,Male,<=50K
55,Private,Tech-support,Male,>50K
56,Private,Machine-op-inspct,Male,<=50K
57,Private,Other-service,Male,<=50K
58,Private,Adm-clerical,Male,<=50K
59,Private,Machine-op-inspct,Male,<=50K
60,Private,Sales,Male,<=50K
61,?,?,Male,<=50K
62,Private,Transport-moving,Male,<=50K
63,Private,Prof-specialty,Male,>50K
64,Private,Tech-support,Male,<=50K
65,Private,Craft-repair,Male,<=50K
66,Private,Adm-clerical,Female,<=50K
67,Private,Adm-clerical,Female,>50K
68,Self-emp-inc,Exec-managerial,Male,>50K
69,?,?,Male,<=50K
70,Private,Prof-specialty,Male,<=50K
71,Private,Sales,Female,<=50K
72,Self-emp-not-inc,Sales,Male,>50K
73,Private,Machine-op-inspct,Male,<=50K
74,Private,Prof-specialty,Male,<=50K
75,Private,Other-service,Male,<=50K
76,Private,Adm-clerical,Male,<=50K
77,?,?,Male,<=50K
78,Private,Other-service,Female,<=50K
79,Local-gov,Farming-fishing,Male,<=50K
80,Private,Sales,Male,<=50K
81,Private,Other-service,Male,<=50K
82,Private,Other-service,Female,<=50K
83,Private,Sales,Male,<=50K
84,Private,Craft-repair,Female,>50K
85,Private,Sales,Female,<=50K
86,Local-gov,Protective-serv,Male,>50K
87,Private,Prof-specialty,Male,<=50K
88,Private,Sales,Male,<=50K
89,Federal-gov,Prof-specialty,Female,>50K
90,Private,Prof-specialty,Male,<=50K
91,Private,Craft-repair,Female,<=50K
92,Private,Machine-op-inspct,Female,<=50K
93,Private,Sales,Female,<=50K
94,Local-gov,Protective-serv,Male,>50K
95,Local-gov,Handlers-cleaners,Male,<=50K
96,Self-emp-not-inc,Prof-specialty,Male,>50K
97,Private,Sales,Male,>50K
98,Private,Exec-managerial,Female,<=50K
99,Federal-gov,Other-service,Male,<=50K
100,Private,Exec-managerial,Male,>50K
101,Private,Exec-managerial,Male,>50K
102,Self-emp-not-inc,Prof-specialty,Female,<=50K
103,Private,Tech-support,Female,<=50K
104,Private,Craft-repair,Male,<=50K
105,Self-emp-inc,Craft-repair,Male,>50K
106,?,?,Female,<=50K
107,Private,Handlers-cleaners,Male,<=50K
108,Local-gov,Adm-clerical,Female,<=50K
109,Private,Handlers-cleaners,Male,<=50K
110,Private,Sales,Male,<=50K
111,Private,Prof-specialty,Male,>50K
112,Self-emp-not-inc,Other-service,Male,>50K
113,Private,Sales,Female,<=50K
114,Private,Machine-op-inspct,Female,<=50K
115,Private,Handlers-cleaners,Male,<=50K
116,Self-emp-inc,Sales,Male,<=50K
117,Local-gov,Craft-repair,Male,>50K
118,Private,Sales,Male,<=50K
119,Private,Craft-repair,Male,<=50K
120,Private,Other-service,Female,<=50K
121,Private,Exec-managerial,Male,<=50K
122,Private,Exec-managerial,Male,<=50K
123,State-gov,Prof-specialty,Male,>50K
124,Private,Other-service,Male,<=50K
125,Private,Exec-managerial,Female,>50K
126,Private,Adm-clerical,Female,<=50K
127,Private,Adm-clerical,Male,>50K
128,?,?,Male,<=50K
129,Private,Craft-repair,Male,<=50K
130,Private,Sales,Female,<=50K
131,Private,Other-service,Female,<=50K
132,Self-emp-not-inc,Craft-repair,Male,<=50K
133,Private,Sales,Male,<=50K
134,Private,Tech-support,Female,<=50K
135,Federal-gov,Prof-specialty,Male,>50K
136,Self-emp-not-inc,Craft-repair,Male,<=50K
137,Private,Adm-clerical,Female,<=50K
138,Private,Sales,Male,<=50K
139,Private,Craft-repair,Male,>50K
140,Self-emp-inc,Craft-repair,Male,<=50K
141,Private,Sales,Female,<=50K
142,Private,Other-service,Male,<=50K
143,Private,Prof-specialty,Female,>50K
144,Private,Tech-support,Male,<=50K
145,Private,Transport-moving,Female,<=50K
146,Private,Other-service,Male,<=50K
147,Private,Other-service,Female,<=50K
148,Private,Craft-repair,Male,<=50K
149,?,?,Female,<=50K
150,Local-gov,Adm-clerical,Female,<=50K
151,Private,Adm-clerical,Female,<=50K
152,Private,Exec-managerial,Female,<=50K
153,Private,Craft-repair,Male,<=50K
154,?,?,Male,>50K
155,Private,Craft-repair,Male,<=50K
156,Private,Handlers-cleaners,Male,<=50K
157,Self-emp-not-inc,Sales,Male,<=50K
158,Private,Craft-repair,Male,<=50K
159,Private,Other-service,Male,<=50K
160,?,?,Female,<=50K
161,Private,Other-service,Female,<=50K
162,Self-emp-inc,Exec-managerial,Female,<=50K
163,Private,Exec-managerial,Female,<=50K
164,Self-emp-not-inc,Sales,Male,>50K
165,Private,Other-service,Female,<=50K
166,Federal-gov,Exec-managerial,Male,<=50K
167,State-gov,Protective-serv,Male,<=50K
168,Private,Handlers-cleaners,Male,<=50K
169,Local-gov,Prof-specialty,Female,<=50K
170,Private,Other-service,Male,<=50K
171,State-gov,Protective-serv,Male,<=50K
172,Private,Sales,Male,>50K
173,Private,Craft-repair,Male,<=50K
174,State-gov,Prof-specialty,Male,>50K
175,Private,Sales,Female,<=50K
176,Private,Craft-repair,Male,<=50K
177,Private,Handlers-cleaners,Male,<=50K
178,Private,Other-service,Male,<=50K
179,Private,Prof-specialty,Male,<=50K
180,Local-gov,Exec-managerial,Male,>50K
181,Private,Adm-clerical,Female,<=50K
182,Private,Craft-repair,Male,<=50K
183,Private,Machine-op-inspct,Male,>50K
184,Federal-gov,Adm-clerical,Male,>50K
185,Private,Adm-clerical,Male,<=50K
186,Self-emp-not-inc,Exec-managerial,Female,<=50K
187,?,?,Female,<=50K
188,Private,Prof-specialty,Female,<=50K
189,State-gov,Prof-specialty,Male,>50K
190,Private,Machine-op-inspct,Female,<=50K
191,Private,Machine-op-inspct,Male,<=50K
192,Local-gov,Craft-repair,Male,<=50K
193,Private,Tech-support,Male,<=50K
194,Federal-gov,Tech-support,Male,<=50K
195,Private,Transport-moving,Male,<=50K
196,Private,Craft-repair,Male,<=50K
197,Federal-gov,Exec-managerial,Female,>50K
198,Private,Prof-specialty,Male,>50K
199,Self-emp-not-inc,Sales,Male,<=50K
200,Private,Prof-specialty,Female,<=50K
201,?,?,Male,<=50K
202,Private,Exec-managerial,Male,>50K
203,Local-gov,Prof-specialty,Female,<=50K
204,State-gov,Adm-clerical,Female,<=50K
205,Private,Sales,Female,<=50K
206,Private,Other-service,Male,>50K
207,Private,Craft-repair,Male,<=50K
208,Self-emp-inc,Sales,Female,>50K
209,Private,Sales,Female,<=50K
210,Local-gov,Transport-moving,Male,<=50K
211,Private,Craft-repair,Male,>50K
212,Private,Sales,Female,<=50K
213,Private,Craft-repair,Male,<=50K
214,Self-emp-inc,Machine-op-inspct,Male,>50K
215,Private,Exec-managerial,Male,>50K
216,Private,Sales,Female,<=50K
217,Private,Sales,Male,<=50K
218,Private,Prof-specialty,Male,<=50K
219,Private,Craft-repair,Male,<=50K
220,Private,Handlers-cleaners,Male,<=50K
221,?,?,Male,<=50K
222,Private,Other-service,Male,<=50K
223,Private,Adm-clerical,Male,<=50K
224,Local-gov,Machine-op-inspct,Female,<=50K
225,Private,Sales,Female,<=50K
226,?,?,Female,<=50K
227,Self-emp-not-inc,Farming-fishing,Male,<=50K
228,Private,Adm-clerical,Female,<=50K
229,Private,Adm-clerical,Female,<=50K
230,Private,Transport-moving,Male,<=50K
231,Private,Sales,Female,<=50K
232,Private,Adm-clerical,Male,<=50K
233,Private,Craft-repair,Female,<=50K
234,Private,Prof-specialty,Male,>50K
235,State-gov,Other-service,Male,<=50K
236,State-gov,Adm-clerical,Female,<=50K
237,Private,Exec-managerial,Male,>50K
238,Local-gov,Exec-managerial,Male,>50K
239,Private,Transport-moving,Male,<=50K
240,Private,Prof-specialty,Male,>50K
241,Self-emp-not-inc,Other-service,Female,<=50K
